Year,Area,Street,Street2
2011,Birmingham,Acocksgreen,
2011,,Adderlystr,
2011,,Alcesterraodmosley,
2011,,Alcesterrd,
2011,,Alcesterrdmoseley,
2011,,Alcesterrdmoseley,
2011,,Alfredstr,
2011,,Allserviceclubmosley,
2011,,Alumrockrd,
2011,,Alumrockrd,
2011,,Alumrockrd,
2011,,Alumrockrd,
2011,,Arcadiancentre,
2011,,Ardenrdsaltley,
2011,,Asdachemsleywood,
2011,,Balsahllheathparkjwbrightonrd,
2011,,Bamfordrd,
2011,,Bamfordrd,
2011,,Beechbrookavesparkhill,
2011,,Belchersln,
2011,,Belchersln,
2011,,Belchersln,
2011,,Belcherslnbordesleygreen,
2011,,Bellstr,
2011,,Berkleyrdeasthaymills,
2011,,Birminghamairport,
2011,,Birminghaminternationalrailwaystation,
2011,,Bordesleygreen,
2011,,Bordesleygreenbordesleygreen,
2011,,Bristolrd,
2011,,Bristolstr,
2011,,Brdstr,
2011,,Brdstr,
2011,,Brdstrbirmingham,
2011,,Bucklandendlnshardend,
2011,,Bullsheadphstmarysrow,
2011,,Bushburyrdkittsgreen,
2011,,Charticerd,
2011,,Chestnutrd,
2011,,Churchrdstechford,
2011,,Churchrdsheldon,
2011,,Cliffordrddorridge,
2011,,Clockln,
2011,,Colonialrdbordesleygreen,
2011,,Corporationstbirmingham,
2011,,Corporationstr,
2011,,Coventryrdsmallheath,
2011,,Coventryrdsmallheathbham,
2011,,Coventryrd,
2011,,Coventryrd,
2011,,Coventryrd,
2011,,Coventryrd,
2011,,Coventryrd,
2011,,Coventryrdsmallheath,
2011,,Coventryrdsmallheath,
2011,,Coventryrdsmallheath,
2011,,Cranesparkrd,
2011,,Cranesparkrdsheldon,
2011,,Crossfieldrd,
2011,,Crossfieldsrdkittsgreen,
2011,,Cxhurchrdstechfordbham,
2011,,Digbethhighstr,
2011,,Edgbastonrd,
2011,,Edwardrdmoseley,
2011,,Fightingcoxph,
2011,,Foremansrdsparkhill,
2011,,Frontofficekingsheath,
2011,,Garrettsgreenrdgarrettsgreen,
2011,,Gilesclose,
2011,,Gilesclosestechford,
2011,,Glazedalerd,
2011,,Gospelfarmrd,
2011,,Gospelfarmrd,
2011,,Gospelln,
2011,,Gospelln,
2011,,Gospelln,
2011,,Gospellnacocksgreen,
2011,,Gracechurchsuttoncoldfield,
2011,,Greathamptonstr,
2011,,Greenln,
2011,,Greswelllnshardend,
2011,,Harlequindrivemosley,
2011,,Haslucksgreenrd,
2011,,Hazeldeanrd,
2011,,Heartlandshospital,
2011,,Heartlandshospital,
2011,,Heartlandshospitalae,
2011,,Heartlandshospitalae,
2011,,Heartlandshospitalae,
2011,,Hepbengrove,
2011,,Herrickrd,
2011,,Herrickrdwashwoodheath,
2011,,Herrickrdwashwoodheath,
2011,,Highstsolihull,
2011,,Highstrkingsheath,
2011,,Highstrkingsheath,
2011,,Highstrkingsheath,
2011,,Hobmoorrdatstarbankrd,
2011,,Hollowayheadbhamcitycentre,
2011,,Hollywellrd,
2011,,Homeaddress,
2011,,Homeaddress,
2011,,Homerstr,
2011,,Huntersmoonpublichouse,
2011,,Hurststr,
2011,,Hurststr,
2011,,Hurststr,
2011,,Hurststrbirmingham,
